experiment,model,attention,mAP50,mAP50_95,precision,recall,duration_min,gpu_memory_gb,cpu_memory_mb,efficiency
yolov12_sdpa,yolov12,sdpa,76.71974573088917,46.130629823030944,81.60868313228323,66.41304347826087,55.30739711523056,0.218558464,8394.328125,1.3871516240593806
yolov12_flash,yolov12,flash,76.53378494108362,47.92217655434278,83.11082838407587,63.15217391304348,67.32496747175853,0.05179852800000001,3405.97265625,1.1367816103763884
yolov13_flash,yolov13,flash,82.33638823936657,52.31637160532948,89.38250950312353,68.3695652173913,65.65933995644251,0.248391168,8364.359375,1.253993541421333
yolov13_sdpa,yolov13,sdpa,82.89999999999999,47.4,78.0,73.5,58.56,0.25,8400.0,1.415642076502732
